City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
209,saint anthony,45.0205,-93.218,43.14,77,72,5.35,US,1635044239
210,san patricio,28.017,-97.5169,80.46,71,2,9.37,US,1635044240
211,paamiut,61.994,-49.6678,31.26,42,94,5.23,GL,1635044240
212,yulara,-25.2406,130.9889,80.44,19,3,18.41,AU,1635043696
213,severobaykalsk,55.65,109.3167,36.59,72,63,1.95,RU,1635044240
214,srednekolymsk,67.45,153.6833,-1.8,88,36,3.18,RU,1635044241
215,saskylakh,71.9167,114.0833,6.58,94,100,13.65,RU,1635043687
216,cuernavaca,18.9167,-99.25,74.48,97,100,3.18,MX,1635044024
217,vila franca do campo,37.7167,-25.4333,64.81,84,91,6.29,PT,1635044241
218,bow island,49.8668,-111.3684,48.22,76,92,1.14,CA,1635044241
219,codrington,-38.2667,141.9667,53.42,63,98,15.01,AU,1635044242
220,marinhais,39.0473,-8.7024,63.34,90,2,3.83,PT,1635044242
221,muros,42.7762,-9.0603,57.83,95,1,6.55,ES,1635044242
222,otradnoye,59.7775,30.8181,34.56,91,80,8.05,RU,1635044242
223,labuhan,-6.8844,112.2051,88.7,59,60,2.66,ID,1635043823
224,eyrarbakki,63.863,-21.1481,46.45,81,99,11.43,IS,1635043811
225,riyadh,24.6877,46.7219,75.34,24,0,8.99,SA,1635043576
226,morondava,-20.2833,44.2833,68.74,76,0,6.46,MG,1635043825
227,nouadhibou,20.931,-17.0347,67.66,84,0,18.03,MR,1635043822
228,waingapu,-9.6567,120.2641,88.12,56,71,8.77,ID,1635043787
229,florencia,43.7667,11.25,62.28,65,0,8.05,IT,1635044243
230,america dourada,-11.4553,-41.4361,71.37,90,100,6.02,BR,1635043986
231,sabang,5.8933,95.3214,81.52,74,100,2.95,ID,1635043791
232,douentza,14.9951,-2.9517,87.46,43,97,5.3,ML,1635044244
233,harer,9.3094,42.1258,55.94,25,5,5.75,ET,1635044244
234,tabou,4.423,-7.3528,76.95,88,87,4.45,CI,1635044244
235,sioux lookout,50.1001,-91.917,35.98,93,75,8.05,CA,1635044244
236,masaka,-0.3338,31.7341,62.42,83,100,4.36,UG,1635044245
237,saint-augustin,51.226,-58.6502,40.73,94,100,11.92,CA,1635043795
238,palauig,15.435,119.9045,84.33,66,100,1.63,PH,1635044245
239,acapulco,16.8634,-99.8901,73.22,94,90,12.66,MX,1635043509
240,mizan teferi,6.9833,35.5833,61.5,72,6,3.33,ET,1635044245
241,iskateley,67.6803,53.1512,25.11,91,74,7.99,RU,1635044246
242,saldanha,-33.0117,17.9442,48.25,72,0,8.7,ZA,1635043764
243,grindavik,63.8424,-22.4338,46.35,100,75,9.22,IS,1635043695
244,bud,39.447,-86.1758,54.7,83,100,5.57,US,1635044246
245,sambava,-14.2667,50.1667,74.84,92,94,4.83,MG,1635044246
246,bairiki,1.3292,172.9752,86.0,58,40,5.75,KI,1635044247
247,luderitz,-26.6481,15.1594,56.32,69,0,15.08,NA,1635043730
248,ternate,0.8,127.4,84.38,69,97,2.68,ID,1635043783
249,san quintin,30.4833,-115.95,59.43,75,7,18.66,MX,1635044247
250,makakilo city,21.3469,-158.0858,77.68,71,8,15.64,US,1635044247
251,bobcaygeon,44.5462,-78.542,44.24,73,67,2.53,CA,1635044248
252,colac,-38.3333,143.5833,60.15,45,29,12.37,AU,1635044248
253,carnarvon,-24.8667,113.6333,75.27,69,0,14.97,AU,1635043672
254,salinas,36.6777,-121.6555,63.16,72,100,1.19,US,1635044227
255,broken hill,-31.95,141.4333,65.91,34,0,12.66,AU,1635044248
256,takapau,-40.0333,176.35,53.2,92,100,1.07,NZ,1635044249
257,lompoc,34.6391,-120.4579,64.38,83,1,23.0,US,1635043514
258,zimovniki,47.1483,42.4633,52.02,86,100,4.0,RU,1635044249
259,tongliao,43.6125,122.2653,57.0,32,0,9.93,CN,1635044249
260,tasiilaq,65.6145,-37.6368,32.16,96,100,6.51,GL,1635043768
261,sebastian,35.1668,-94.2669,78.01,89,84,4.92,US,1635044027
262,mount isa,-20.7333,139.5,98.37,20,22,11.5,AU,1635044250
263,half moon bay,37.4636,-122.4286,64.17,79,90,3.0,US,1635044239
264,batagay-alyta,67.8006,130.4114,7.07,92,100,1.95,RU,1635044250
265,narsaq,60.9167,-46.05,28.24,52,32,4.36,GL,1635044251
266,golaghat,26.5167,93.9667,75.29,82,1,2.89,IN,1635044251
267,rio grande,-32.035,-52.0986,57.94,88,77,14.05,BR,1635044251
268,weinan,34.5036,109.5089,60.49,62,9,2.37,CN,1635044251
269,samarai,-10.6167,150.6667,81.36,81,31,11.07,PG,1635044252
270,the valley,18.217,-63.0578,82.81,73,56,17.83,AI,1635044252
271,hithadhoo,-0.6,73.0833,82.8,73,100,12.75,MV,1635043714
272,portland,45.5234,-122.6762,55.36,95,75,1.99,US,1635043886
273,outjo,-20.1167,16.15,57.88,25,0,3.78,NA,1635044252
274,lagoa,39.05,-27.9833,66.67,59,81,12.82,PT,1635043733
275,pisco,-13.7,-76.2167,63.01,82,48,13.8,PE,1635043468
276,padang,-0.9492,100.3543,80.65,81,75,5.32,ID,1635043718
277,berlevag,70.8578,29.0864,37.22,63,91,21.92,NO,1635044253
278,praia,14.9215,-23.5087,77.54,78,20,13.8,CV,1635044253
279,oshnaviyeh,37.0397,45.0983,35.85,51,0,4.27,IR,1635044253
280,meybod,32.2501,54.0166,50.02,22,0,1.32,IR,1635044254
281,cuamba,-14.8031,36.5372,72.34,46,81,4.63,MZ,1635044254
